Industry,Job_Title,Annual_Salary,Extra_Compensation,Country,City,Overall_Experience,Field_Experience,Highest_Education,Gender,Race
Health care,Research Manager,72666,0,USA,Denver,11 - 20 years,11 - 20 years,Master's degree,Man,White
Computing or Tech,Project Manager,42584,0,USA,Richmond,8 - 10 years,2 - 4 years,Some college,Woman,White
Insurance,Associate Underwriter,48307,0,USA,"Warwick, RI",21 - 30 years,11 - 20 years,Some college,Woman,White
Computing or Tech,Community Manager,70322,0,USA,San Francisco,5-7 years,2 - 4 years,College degree,Woman,White
Insurance,Software Developer,93763,7813,USA,Milwaukee,11 - 20 years,11 - 20 years,Some college,Man,White
Nonprofits,Senior Manager,73448,7813,USA,Seattle,8 - 10 years,5-7 years,Master's degree,Woman,White
Education (Higher Education),Associate Director of Annual Giving,49225,0,USA,Poughkeepsie,8 - 10 years,2 - 4 years,College degree,Man,White
Engineering or Manufacturing,Process Integration Engineering ,71885,14064,USA,Dallas,2 - 4 years,2 - 4 years,Master's degree,Woman,White
Education (Higher Education),Development Coordinator,46881,781,USA,New York City,5-7 years,5-7 years,College degree,Woman,White
Nonprofits,Senior researcher,39068,0,USA,Minneapolis,11 - 20 years,11 - 20 years,Master's degree,Woman,White
Education (Higher Education),"Producer (Marketing, Video production) ",43600,0,USA,Fort Wayne,11 - 20 years,11 - 20 years,Master's degree,Woman,White
Property or Construction,Accounting manager,50788,0,USA,Wilmington,2 - 4 years,2 - 4 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin"
Law,Associate Attorney,85949,3125,USA,Walnut Creek,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
Computing or Tech,Sr Software Engineer,125018,109390,USA,Pittsburgh ,11 - 20 years,11 - 20 years,College degree,Woman,White
Business or Consulting,Principal Product Designer,121111,3906,USA,Los Angeles,11 - 20 years,8 - 10 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
Education (Higher Education),IT Analyst,67822,0,USA,Durham,21 - 30 years,21 - 30 years,College degree,Woman,White
"Accounting, Banking & Finance",Administrative Assistant,70322,46881,USA,New York,8 - 10 years,8 - 10 years,College degree,Woman,White
Hospitality & Events,Kitchen Manager,39068,3906,USA,Pittsburgh,21 - 30 years,21 - 30 years,Some college,Man,White
Health care,Senior Health Educator,72666,2734,USA,"Portland, OR (remote for a company in CA)",8 - 10 years,8 - 10 years,PhD,Woman,White
Computing or Tech,Engineering Manager,109390,78136,USA,Concord,5-7 years,5-7 years,College degree,Woman,White
Recruitment or HR,Recruiter ,63368,0,USA,Fort Worth,5-7 years,5-7 years,High School,Man,Black or African American
Nonprofits,Program Coordinator,32817,0,USA,Dayton,8 - 10 years,2 - 4 years,College degree,Woman,White
Education (Higher Education),Program Administrator,55476,0,USA,Cambridge,21 - 30 years,11 - 20 years,College degree,Man,White
Government and Public Administration,Events Coordinator,50788,0,USA,District of Columbia,5-7 years,2 - 4 years,College degree,Man,Black or African American
Education (Primary/Secondary),Social Studies and Technology Teacher,13439,0,USA,East Liverpool,5-7 years,5-7 years,College degree,Woman,White
Education (Primary/Secondary),Educational Support Professional ,17189,0,USA,Northampton ,31 - 40 years,8 - 10 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
Engineering or Manufacturing,Senior Facility Manager,108609,10939,USA,Florence,11 - 20 years,11 - 20 years,College degree,Woman,White
Business or Consulting,Senior Learning Consultant and Instructional Designer  ,50085,1562,USA,Cincinnati,2 - 4 years,2 - 4 years,College degree,Woman,White
Insurance,Customer Service Coach,45863,2781,USA,South Bend,5-7 years,5-7 years,College degree,Woman,White
Education (Higher Education),Associate Professor,54695,1562,USA,Northfield,11 - 20 years,5-7 years,PhD,Woman,White
Government and Public Administration,State Railroad Program Manager ,54695,0,USA,Phoenix,11 - 20 years,5-7 years,Master's degree,Woman,White
Government and Public Administration,Business Analyst,45000,0,UK,Exeter,21 - 30 years,21 - 30 years,College degree,Woman,White
Education (Higher Education),Communications and Marketing Manager,55810,0,Uganda,Toronto,11 - 20 years,11 - 20 years,College degree,Woman,White
Transport or Logistics,Operations Manager,105484,0,USA,Remote,11 - 20 years,8 - 10 years,Master's degree,Woman,White
Government and Public Administration,Head of strategy ,50000,0,UK,Bristol,11 - 20 years,11 - 20 years,PhD,Woman,White
Nonprofits,Chief People Officer,115641,3906,USA,Manchester,11 - 20 years,8 - 10 years,Master's degree,Woman,White
Engineering or Manufacturing,Human Resources Administrator,42974,0,USA,Charleston,11 - 20 years,5-7 years,College degree,Woman,White
Health care,Pediatrician,125018,0,USA,New York,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White
Government and Public Administration,Manager,112516,2344,USA,Washington,8 - 10 years,8 - 10 years,Master's degree,Woman,White
Health care,Data coordinator ,34806,0,Uganda,Toronto,5-7 years,2 - 4 years,College degree,Woman,White
"Accounting, Banking & Finance",Paraprofessional,32817,3906,USA,Queensbury,2 - 4 years,5-7 years,Master's degree,Woman,White
Computing or Tech,Lead Game Designer,61336,781,USA,Cary,11 - 20 years,11 - 20 years,Some college,Woman,White
Education (Higher Education),Public Relations Specialist,34770,0,USA,Topeka,5-7 years,5-7 years,College degree,Woman,White
Computing or Tech,Cybersecurity Analyst,93763,0,USA,Stafford,21 - 30 years,8 - 10 years,Some college,Woman,White
Art & Design,Photographer,21128,0,USA,"Baltimore, MD",5-7 years,2 - 4 years,Some college,Man,White
Business or Consulting,Associate,46881,781,USA,District of Columbia,2 - 4 years,2 - 4 years,Master's degree,Woman,White
Education (Higher Education),Professor (full),62509,7813,USA,Arnold,21 - 30 years,21 - 30 years,PhD,Woman,White
Engineering or Manufacturing,Process Controls Engineer,58602,2344,USA,Sabetha ,2 - 4 years,2 - 4 years,College degree,Woman,White
Education (Primary/Secondary),Special Education Aide,17189,0,USA,Newton,2 - 4 years,2 - 4 years,Master's degree,Woman,White
"Marketing, Advertising & PR",Senior Art Director,78136,0,USA,New York City,11 - 20 years,11 - 20 years,College degree,Woman,White
Recruitment or HR,"Vice President, Human Resources",113297,7813,USA,New York,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White
Education (Primary/Secondary),Central Office Administrator,67978,0,USA,Raleigh,11 - 20 years,11 - 20 years,Master's degree,Woman,White
Education (Higher Education),Senior Administrative Assistant,42974,0,USA,New Haven,5-7 years,5-7 years,College degree,Man,White
Art & Design,Senior Graphic Designer,37504,0,USA,Denver,5-7 years,5-7 years,College degree,Woman,White
Computing or Tech,(Electronics) Hardware engineer,89075,4688,USA,Sunnyvale,11 - 20 years,2 - 4 years,Some college,Woman,White
"Accounting, Banking & Finance",assistant accountant,32000,0,UK,BELFAST,11 - 20 years,11 - 20 years,College degree,Woman,White
Retail,Front of Store Attendant,24508,0,USA,San Ramon,5-7 years,2 - 4 years,College degree,Man,White
Government and Public Administration,Technical writer,85949,195,USA,Fairfax,21 - 30 years,21 - 30 years,College degree,Woman,White
Government and Public Administration,HR Specialist,49959,0,USA,Augusta,11 - 20 years,2 - 4 years,College degree,Woman,White
Government and Public Administration,Librarian,62509,0,USA,Wilmington,21 - 30 years,11 - 20 years,Master's degree,Woman,White
Nonprofits,Head of Community Relations,73448,0,USA,"New City, NY",11 - 20 years,11 - 20 years,Master's degree,Woman,White
Education (Primary/Secondary),Library Manager,56258,0,USA,St Paul,8 - 10 years,8 - 10 years,Master's degree,Woman,White
Sales,Territory Manager,25784,0,USA,Duluth,5-7 years,2 - 4 years,College degree,Man,White
Law,Commercial Counsel,130487,15627,USA,Austin,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White
Utilities & Telecommunications,Product Owner,74229,7032,USA,Philadelphia,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White
Computing or Tech,"Support Manager, North America",60164,1562,USA,"Sacramento, CA",5-7 years,5-7 years,College degree,Man,White
"Marketing, Advertising & PR",Marketing Manager,56258,56258,USA,Alexandria,8 - 10 years,8 - 10 years,College degree,Woman,White
Nonprofits,Human Resources Generalist,58602,0,USA,"Washington, DC",5-7 years,5-7 years,Master's degree,Woman,Asian or Asian American
Nonprofits,Development Director,42193,0,USA,Houston,11 - 20 years,5-7 years,College degree,Woman,White
Law,Paralegal,51673,8612,Germany,Frankfurt,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White
Health care,Licensed Practical Nurse,35161,0,USA,Tempe,2 - 4 years,2 - 4 years,College degree,Man,"Hispanic, Latino, or Spanish origin, White"
Business or Consulting,Actuarial Consultant,87512,6250,USA,New York,5-7 years,5-7 years,College degree,Woman,Asian or Asian American
"Accounting, Banking & Finance",Tax staff,39068,0,USA,Austin,8 - 10 years,2 - 4 years,College degree,Woman,Asian or Asian American
Law,Paralegal,45319,0,USA,Medford,11 - 20 years,11 - 20 years,College degree,Woman,White
Education (Primary/Secondary),Special Education Teacher,37505,0,USA,Tucson,11 - 20 years,11 - 20 years,College degree,Woman,White
Education (Primary/Secondary),School Counselor,31801,1953,USA,Indianapolis,11 - 20 years,8 - 10 years,Master's degree,Woman,White
Government and Public Administration,Legal Counsel,101577,15627,USA,A very large city,31 - 40 years,31 - 40 years,"Professional degree (MD, JD, etc.)",Woman,White
"Accounting, Banking & Finance",Bookkeeper and Payroll Specialist,62412,0,Uganda,"Vancouver,  BC",11 - 20 years,11 - 20 years,Some college,Woman,White
Government and Public Administration,Librarian,44537,0,USA,Phoenix,5-7 years,11 - 20 years,Master's degree,Woman,White
Education (Primary/Secondary),Paraprofessional/Paraeducator,18234,0,USA,Butler,11 - 20 years,11 - 20 years,College degree,Woman,White
Utilities & Telecommunications,hydro electric operating supervisor,72014,18003,Uganda,ottawa,31 - 40 years,21 - 30 years,Some college,Woman,White
Nonprofits,Postvention Coordinator,49225,0,USA,Salem,8 - 10 years,8 - 10 years,Master's degree,Non-binary,White
Computing or Tech,Cyber Security Manager,92103,7813,USA,"Henrico, VA",11 - 20 years,11 - 20 years,College degree,Man,"Hispanic, Latino, or Spanish origin, White"
Nonprofits,Development Manager,51507,781,USA,Nashville,11 - 20 years,11 - 20 years,Master's degree,Woman,White
Education (Higher Education),Analyst,48835,0,USA,Boston,5-7 years,2 - 4 years,Master's degree,Woman,White
"Accounting, Banking & Finance",Mortgage Funder,45319,0,USA,Oakland,2 - 4 years,2 - 4 years,College degree,Woman,White
Computing or Tech,Product Safety Engineer,83605,6250,USA,San Jose,2 - 4 years,2 - 4 years,College degree,Man,"Hispanic, Latino, or Spanish origin"
Entertainment,Literary agent,29691,11720,USA,New York City,8 - 10 years,8 - 10 years,College degree,Woman,White
Agriculture or Forestry,Executive Administrative Assistant,37192,4297,USA,Olathe,8 - 10 years,8 - 10 years,College degree,Woman,White
Computing or Tech,Senior Team Lead,118767,11720,USA,Natick,11 - 20 years,11 - 20 years,College degree,Woman,White
Law,Staff Attorney,50788,0,USA,Collingswood,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White
Engineering or Manufacturing,Project Manager,66415,3125,USA,Cleveland,5-7 years,2 - 4 years,College degree,Woman,White
Nonprofits,Office & Communications Assistant,34129,0,USA,Portland,8 - 10 years,5-7 years,College degree,Non-binary,White
Education (Higher Education),Public Records Officer,59168,0,USA,Eugene,11 - 20 years,11 - 20 years,College degree,Woman,White
Nonprofits,Conferences Event Manager,53132,1406,USA,District of Columbia,11 - 20 years,8 - 10 years,Master's degree,Woman,White
"Accounting, Banking & Finance",Personal banker ,32817,17189,USA,Melbourne ,11 - 20 years,11 - 20 years,College degree,Woman,White
Health care,IT Director,161984,11570,Denmark,Copenhagen,8 - 10 years,8 - 10 years,Master's degree,Woman,White
Government and Public Administration,Senior Communications Specialist,101577,1562,USA,DC,11 - 20 years,11 - 20 years,Master's degree,Woman,Black or African American
Education (Primary/Secondary),Secondary school teacher,61974,0,Uganda,Burlington,11 - 20 years,11 - 20 years,Master's degree,Woman,White
Education (Higher Education),Librarian,45319,0,USA,East Lansing,11 - 20 years,8 - 10 years,Master's degree,Woman,White
Education (Primary/Secondary),Coordinator,65057,0,USA,Buffalo,11 - 20 years,11 - 20 years,Master's degree,Woman,White
Engineering or Manufacturing,Manager of Mechanical Engineering,90638,35161,USA,Lincoln,11 - 20 years,11 - 20 years,College degree,Man,White
Business or Consulting,Senior Technology Consultant,65634,6563,USA,Atlanta,2 - 4 years,2 - 4 years,College degree,Woman,White
Education (Higher Education),Associate Professor,56258,0,USA,Norfolk,21 - 30 years,21 - 30 years,PhD,Woman,White
"Accounting, Banking & Finance",Vice President,82824,70322,USA,New York,31 - 40 years,31 - 40 years,College degree,Woman,White
Health care,Grant Offier ,73948,0,USA,Portland ,11 - 20 years,11 - 20 years,Some college,Man,White
Engineering or Manufacturing,Senior Field Application Engineer,78602,0,USA,Plymouth,11 - 20 years,11 - 20 years,College degree,Woman,White
"Accounting, Banking & Finance",Compliance Manager,62509,3906,USA,Tennessee,11 - 20 years,11 - 20 years,College degree,Woman,White
Engineering or Manufacturing,HR GENERALIST ,71104,3125,USA,Baltimore suburb ,31 - 40 years,31 - 40 years,High School,Woman,White
Education (Higher Education),Talent acquisition specialist ,50788,0,USA,Flint,11 - 20 years,2 - 4 years,Master's degree,Woman,White
Education (Higher Education),Assistant Professor,40630,0,USA,Kearney,2 - 4 years,2 - 4 years,PhD,Woman,White
Health care,Quality Assurance,75010,0,USA,Atlanta,11 - 20 years,11 - 20 years,College degree,Woman,White
"Marketing, Advertising & PR",Media Buyer,46881,7813,USA,Philadelphia,11 - 20 years,11 - 20 years,College degree,Woman,White
Health care,Director of Grants Admin,71885,0,USA,New York,11 - 20 years,8 - 10 years,Master's degree,Woman,Asian or Asian American
Business or Consulting,Engagement Manager,78136,15627,USA,Reston,8 - 10 years,2 - 4 years,Master's degree,Woman,White
Education (Higher Education),Assistant professor,45717,0,USA,Louisville,8 - 10 years,8 - 10 years,PhD,Woman,White
Health care,Senior Compliance Coordinator ,44537,0,USA,Coralville,5-7 years,1 year or less,PhD,Woman,White
Computing or Tech,Senior eLearning Developer,103921,35161,USA,San Francisco ,21 - 30 years,8 - 10 years,College degree,Woman,White
Nonprofits,Executive Director,39849,781,USA,Bethel,11 - 20 years,8 - 10 years,College degree,Woman,White
Health care,Clinical Research Monitor,57355,0,USA,Boston,8 - 10 years,5-7 years,College degree,Woman,Black or African American
Computing or Tech,"Director, Professional Services",98842,97670,USA,Milwaukee,11 - 20 years,5-7 years,Master's degree,Woman,White
Education (Primary/Secondary),Kindergarten teacher,43208,0,Uganda,Ottawa,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White
Social Work,Foster Care Specialist ,33598,0,USA,Memphis,5-7 years,2 - 4 years,Master's degree,Woman,Black or African American
Media & Digital,Associate editor,31254,78,USA,Minneapolis,2 - 4 years,2 - 4 years,College degree,Woman,White
Education (Higher Education),Senior Lecturer ,39068,7813,USA,Detroit,11 - 20 years,11 - 20 years,PhD,Woman,White
Nonprofits,Scheduling Administrator,31992,0,Uganda,Edmonton,8 - 10 years,8 - 10 years,Some college,Woman,White
Computing or Tech,"Director, Product Marketing",128924,15627,USA,Chicago,21 - 30 years,8 - 10 years,Master's degree,Woman,White
"Accounting, Banking & Finance",Administrative Support ,39068,6250,USA,Lansing,11 - 20 years,8 - 10 years,Some college,Woman,White
Education (Primary/Secondary),University Library Dean,141114,0,USA,"**Too small a sample size, can't share",31 - 40 years,21 - 30 years,Master's degree,Woman,White
Retail,Cashier/Clerk,14627,0,USA,Riverdale,1 year or less,1 year or less,College degree,Woman,White
Education (Higher Education),Business Coordinator,43756,0,USA,Chicago,11 - 20 years,8 - 10 years,Master's degree,Woman,White
Business or Consulting,Manager of Healthcare Audits,70322,5078,USA,Raleigh,31 - 40 years,5-7 years,College degree,Woman,White
"Marketing, Advertising & PR",copywriter and editor,31254,0,USA,Orem,5-7 years,5-7 years,College degree,Woman,White
Engineering or Manufacturing,Admin Asst/Tech Writer,29691,195,USA,Somerset,41 years or more,5-7 years,College degree,Woman,White
Health care,Medical office coordinator ,33598,3906,USA,Abington ,21 - 30 years,21 - 30 years,Some college,Woman,White
Law,Lawyer,54695,7813,USA,South Bend,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Man,White
Engineering or Manufacturing,Metrologist,52742,0,USA,Grand Haven,31 - 40 years,21 - 30 years,Some college,Man,White
"Accounting, Banking & Finance",Proposal Manager,70400,0,USA,Chicago,21 - 30 years,5-7 years,Master's degree,Woman,Black or African American
Nonprofits,HR Director,53914,0,USA,Watsonville,8 - 10 years,2 - 4 years,College degree,Woman,White
Engineering or Manufacturing,Supervisory Mechanical Engineer,90638,3906,USA,Savannah,11 - 20 years,11 - 20 years,College degree,Woman,White
Computing or Tech,Customer Success Manager,50788,2344,USA,Arlington,8 - 10 years,2 - 4 years,College degree,Man,White
Government and Public Administration,Internal Communications Director,85949,1562,USA,Washington ,21 - 30 years,11 - 20 years,Master's degree,Woman,White
Government and Public Administration,Environmental Protection Specialist,74229,781,USA,Charleston,11 - 20 years,11 - 20 years,Master's degree,Woman,White
Health care,A/R Analyst,67197,4688,USA,North Chicago,21 - 30 years,5-7 years,College degree,Woman,White
Government and Public Administration,Fiscal Analyst,93763,0,USA,Decline to provide,11 - 20 years,11 - 20 years,Master's degree,Woman,White
Government and Public Administration,Program Manager,41463,0,USA,St. Louis,11 - 20 years,8 - 10 years,College degree,Woman,White
Business or Consulting,Environmental Planner ,48835,2344,USA,Newark,2 - 4 years,2 - 4 years,Master's degree,Woman,White
Education (Higher Education),Research Integrity Manager,51569,0,USA,Prefer not to answer,21 - 30 years,8 - 10 years,College degree,Woman,White
Health care,Nurse practitioner,89856,0,USA,"Greenfield, MA",11 - 20 years,5-7 years,Master's degree,Woman,White
Engineering or Manufacturing,Associate Scientist ,36724,0,USA,Ann Arbor,8 - 10 years,2 - 4 years,College degree,Woman,White
Education (Primary/Secondary),occupational therapist,57430,0,USA,New York City,8 - 10 years,2 - 4 years,Master's degree,Woman,White
Computing or Tech,Software Developer,30879,390,USA,Milwaukee Area,2 - 4 years,2 - 4 years,College degree,Non-binary,White
Government and Public Administration,Senior Policy Adviser,52500,0,UK,London,5-7 years,5-7 years,College degree,Woman,White
Sales,Sales manager,53601,3750,USA,Golden,11 - 20 years,11 - 20 years,Some college,Woman,White
Nonprofits,Social Listening Coordinator,46881,234,USA,Silver Spring,8 - 10 years,2 - 4 years,College degree,Woman,"Asian or Asian American, White"
Law Enforcement & Security,Investigator ,78136,3906,USA,Leesburg,11 - 20 years,11 - 20 years,College degree,Woman,White
Engineering or Manufacturing,Mechanical Designer,45319,0,USA,York,5-7 years,2 - 4 years,College degree,Man,White
Insurance,Claims Consultant,101577,0,USA,Home,11 - 20 years,1 year or less,"Professional degree (MD, JD, etc.)",Woman,White
Business or Consulting,Senior Associate,48009,1200,Iceland,Calgary,5-7 years,5-7 years,College degree,Woman,White
Engineering or Manufacturing,Civil Engineer II,53132,10157,USA,Waterford,5-7 years,2 - 4 years,College degree,Woman,White
Law,Deputy Legislative Counsel,93763,0,USA,Sacramento,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White
Property or Construction,Project Administrator,32817,1562,USA,Syracuse,21 - 30 years,11 - 20 years,College degree,Woman,White
Nonprofits,Program Manager,66415,6641,USA,Washington,5-7 years,5-7 years,College degree,Woman,White
Government and Public Administration,Legislative Director,54695,0,USA,Salem,5-7 years,2 - 4 years,College degree,Woman,White
Law,Assistant Federal Public Defender,135175,0,USA,San Jose,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Woman,White
Computing or Tech,Engineering Associate ,78136,0,USA,Boston ,1 year or less,1 year or less,College degree,Woman,Asian or Asian American
"Accounting, Banking & Finance",Financial Advisor,74229,11134,USA,Chapel Hill,5-7 years,5-7 years,College degree,Man,White
"Marketing, Advertising & PR",PR Specialist,22000,0,UK,London,1 year or less,1 year or less,College degree,Woman,White
Computing or Tech,DevSecOps Manager,113297,0,USA,Columbia,21 - 30 years,21 - 30 years,Master's degree,Man,White
Nonprofits,Cost & Pricing Officer,71885,0,USA,Washington,8 - 10 years,5-7 years,College degree,Man,White
Computing or Tech,Web developer,49225,0,USA,South Bend,11 - 20 years,11 - 20 years,College degree,Man,White
Art & Design,Interior designer,44537,0,USA,Los Angeles ,11 - 20 years,2 - 4 years,College degree,Woman,White
Education (Higher Education),Lecturer ,43000,0,UK,Various ,31 - 40 years,2 - 4 years,Master's degree,Woman,White
Nonprofits,Outreach,35161,0,USA,Tucson,8 - 10 years,5-7 years,Master's degree,Woman,White
"Accounting, Banking & Finance",Business Ops Analyst,60555,1562,USA,St. Paul,5-7 years,2 - 4 years,College degree,Woman,White
"Accounting, Banking & Finance",Investor Relations Associate,48444,6250,USA,Washington,2 - 4 years,2 - 4 years,College degree,Woman,White
Law,lawyer (Associate),167993,781,USA,Orange County- San Diego County,31 - 40 years,31 - 40 years,"Professional degree (MD, JD, etc.)",Woman,White
Government and Public Administration,Epidemiologist,40630,0,USA,Sanford,2 - 4 years,1 year or less,Master's degree,Woman,"Black or African American, Hispanic, Latino, or Spanish origin"
Education (Primary/Secondary),Assessment Associate,45709,0,USA,Brooklyn,5-7 years,2 - 4 years,Master's degree,Woman,White
"Accounting, Banking & Finance",Human Resources ,32035,3906,USA,Winston-Salem,2 - 4 years,1 year or less,College degree,Man,Native American or Alaska Native
Education (Higher Education),Library Events and External Relations Assistant,38231,0,USA,Orange,2 - 4 years,2 - 4 years,PhD,Woman,White
Government and Public Administration,Director,105000,0,UK,London,11 - 20 years,11 - 20 years,College degree,Woman,White
Government and Public Administration,Environmental Health Specialist,87512,3906,USA,Concord,21 - 30 years,11 - 20 years,College degree,Man,White
Computing or Tech,Product Manager,103608,9376,USA,Seattle,11 - 20 years,5-7 years,PhD,Woman,White
Nonprofits,Translator,39168,0,Hungary,Budapest,21 - 30 years,21 - 30 years,Master's degree,Woman,White
"Marketing, Advertising & PR",Market Research Manager,66415,3125,USA,Boston,8 - 10 years,5-7 years,Master's degree,Woman,"Black or African American, White"
Social Work,Family Therapist,44537,0,USA,Albuquerque,11 - 20 years,8 - 10 years,Master's degree,Woman,White
Retail,Store manager,32817,0,USA,Knoxville,11 - 20 years,8 - 10 years,College degree,Man,White
Education (Higher Education),Resource Manager,46491,0,USA,NYC,11 - 20 years,11 - 20 years,Master's degree,Woman,White
"Accounting, Banking & Finance",Director,117204,0,USA,Los Angeles,5-7 years,5-7 years,Master's degree,Woman,White
Nonprofits,Director of Development,53132,0,USA,New York,11 - 20 years,11 - 20 years,Master's degree,Woman,White
"Marketing, Advertising & PR",Marketing Coordinator,32817,3125,USA,San Diego,2 - 4 years,2 - 4 years,Master's degree,Woman,White
Computing or Tech,Technical Program Manager,103347,0,Luxembourg,Luxembourg,11 - 20 years,11 - 20 years,College degree,Woman,White
Engineering or Manufacturing,Associate Director of Quality,78917,7813,USA,Des Moines,21 - 30 years,8 - 10 years,College degree,Woman,White
Government and Public Administration,Communications Director ,85949,0,USA,Falmouth,21 - 30 years,2 - 4 years,College degree,Man,White
Engineering or Manufacturing,Project Manager,53674,3000,Uganda,Calgary,11 - 20 years,11 - 20 years,High School,Man,White
Art & Design,Graphic artist ,69541,1562,USA,NYC,11 - 20 years,11 - 20 years,College degree,Woman,White
Utilities & Telecommunications,Project Coordinator,48444,0,USA,Seattle,21 - 30 years,21 - 30 years,Some college,Woman,White
Government and Public Administration,Quality Services Specialist,42974,1172,USA,Madison,11 - 20 years,5-7 years,College degree,Woman,White
Government and Public Administration,Public affairs specialist ,35942,0,USA,Charleston,8 - 10 years,5-7 years,College degree,Woman,White
Nonprofits,Communications Manager,35161,781,USA,Madison,8 - 10 years,8 - 10 years,College degree,Woman,White
Computing or Tech,Technical Writer,43000,0,UK,Bristol,11 - 20 years,11 - 20 years,Master's degree,Woman,White
Art & Design,Curator,42974,0,USA,St. Louis,11 - 20 years,5-7 years,PhD,Woman,White
Government and Public Administration,Marketing Specialist,70322,0,USA,Denver,21 - 30 years,11 - 20 years,College degree,Woman,White
Nonprofits,"Manger, Consumer Programs",46881,0,USA,"Washington, DC",8 - 10 years,8 - 10 years,College degree,Woman,White
Utilities & Telecommunications,Operatons Director,48444,0,USA,Denver,21 - 30 years,8 - 10 years,Some college,Woman,White
Education (Primary/Secondary),Managing Director Data Science and Analytics ,89856,0,USA,Chicago,8 - 10 years,1 year or less,Master's degree,Woman,Black or African American
Property or Construction,Operations manager ,46881,0,USA,Virginia Beach ,21 - 30 years,2 - 4 years,Some college,Woman,White
Health care,Senior Analyst,65634,0,USA,San Diego,11 - 20 years,2 - 4 years,Master's degree,Woman,White
Computing or Tech,Senior Program Manager,142399,10313,USA,Seattle,11 - 20 years,11 - 20 years,College degree,Man,White
Nonprofits,Program Coordinator,47760,390,USA,Lexington,11 - 20 years,11 - 20 years,Master's degree,Woman,White
Education (Primary/Secondary),Instructional Aide,24562,937,USA,Pittsburgh,11 - 20 years,11 - 20 years,College degree,Woman,White
"Leisure, Sport & Tourism",Director of Guest Service,42193,0,USA,Tampa,8 - 10 years,8 - 10 years,College degree,Woman,White
"Accounting, Banking & Finance",Chief Accountant,60946,0,USA,Puyallup,11 - 20 years,8 - 10 years,College degree,Woman,White
Education (Primary/Secondary),Ballet teacher,73135,0,USA,Cleveland,8 - 10 years,8 - 10 years,Master's degree,Woman,White
Sales,Account executive ,101577,78136,USA,Ann Arbor,11 - 20 years,11 - 20 years,Master's degree,Woman,White
Education (Higher Education),Director,61424,0,USA,Omaha,31 - 40 years,31 - 40 years,Master's degree,Woman,White
Education (Higher Education),Professor,52351,2344,USA,La Crosse,21 - 30 years,11 - 20 years,PhD,Woman,White
Computing or Tech,Content Writer ,66415,0,USA,New York,2 - 4 years,2 - 4 years,College degree,Woman,White
Computing or Tech,Software Architect,72014,6001,Uganda,Montreal,21 - 30 years,21 - 30 years,Master's degree,Woman,White
"Accounting, Banking & Finance",Accountant 1,35161,0,USA,Wichita ,5-7 years,5-7 years,College degree,Man,Asian or Asian American
Education (Higher Education),Research Project Manager,39068,0,USA,State College,2 - 4 years,2 - 4 years,Master's degree,Man,White
Law,Paralegal,24378,0,USA,Charlotte,2 - 4 years,2 - 4 years,College degree,Woman,White
Education (Higher Education),Assistant Registrar,39070,0,USA,Minneapolis,5-7 years,2 - 4 years,College degree,Woman,White
"Accounting, Banking & Finance",Senior third party risk analyst,78175,4688,USA,San Francisco ,2 - 4 years,2 - 4 years,College degree,Woman,White
Law,Career Law Clerk,93451,0,USA,Columbia,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White
Recruitment or HR,HR Advisor,39277,312,UK,London,11 - 20 years,8 - 10 years,Master's degree,Non-binary,White
Education (Higher Education),Curriculum Designer,50788,0,USA,Cambridge,2 - 4 years,31 - 40 years,College degree,Woman,White
Education (Higher Education),Case Manager,66415,0,USA,Tempe,8 - 10 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White
Engineering or Manufacturing,Production Manager,101577,0,USA,Mountainside,11 - 20 years,11 - 20 years,Some college,Man,White
Law,Sr. eDiscovery Project Manager,66415,0,USA,San Antonio,21 - 30 years,21 - 30 years,College degree,Woman,White
Insurance,Automotive Enthusiast Advisor,30707,1953,USA,Traverse City,11 - 20 years,2 - 4 years,College degree,Woman,White
"Accounting, Banking & Finance",Operations Analyst,117204,58602,USA,New York City,11 - 20 years,11 - 20 years,College degree,Woman,Asian or Asian American
Education (Higher Education),"Assistant Director, Operations & Events",42974,0,USA,Atlanta,11 - 20 years,11 - 20 years,Master's degree,Woman,Asian or Asian American
Government and Public Administration,Administrative Support,30878,0,Uganda,Saskatoon,11 - 20 years,11 - 20 years,Some college,Woman,"Native American or Alaska Native, White"
